iter	Logloss
0	0.6884314085
1	0.6836422552
2	0.6787078802
3	0.6747247149
4	0.6698261906
5	0.6656152562
6	0.6614454729
7	0.6564181815
8	0.6514995062
9	0.6470137479
10	0.6428158164
11	0.6389732619
12	0.6350938437
13	0.6308983093
14	0.6268508279
15	0.6231695546
16	0.6195115889
17	0.6164074805
18	0.6124919311
19	0.6091177306
20	0.6057088078
21	0.6025691536
22	0.599169943
23	0.5955159901
24	0.5926435133
25	0.5894535049
26	0.5863687015
27	0.5836143479
28	0.5810196161
29	0.5775755541
30	0.5744972659
31	0.5714410843
32	0.5687819235
33	0.5665675488
34	0.5642326783
35	0.5614310579
36	0.5591532577
37	0.5568810804
38	0.5549253224
39	0.5526248294
40	0.5503077329
41	0.5478656034
42	0.5457026422
43	0.543914698
44	0.5419865188
45	0.5396490609
46	0.537255481
47	0.5348231747
48	0.5332160465
49	0.5311674674
50	0.5289752317
51	0.527094688
52	0.5249273692
53	0.5231553942
54	0.5217098081
55	0.5198575023
56	0.5179446436
57	0.5163361432
58	0.5147177101
59	0.5129426637
60	0.5114732577
61	0.5096602529
62	0.5078987323
63	0.5063632932
64	0.5048809773
65	0.5030701339
66	0.5013836227
67	0.4997957159
68	0.498726343
69	0.4973213152
70	0.495936499
71	0.4946650048
72	0.4929910394
73	0.491878684
74	0.4898717641
75	0.4888173026
76	0.4871788359
77	0.4858333575
78	0.4842413847
79	0.4831906111
80	0.481666669
81	0.4805743541
82	0.4794529733
83	0.4783395243
84	0.4775417019
85	0.4759565893
86	0.4749195674
87	0.4736631658
88	0.4721410517
89	0.4709196936
90	0.4697214252
91	0.4685168216
92	0.467381697
93	0.4663630395
94	0.4650563765
95	0.464273205
96	0.4628294692
97	0.4619694844
98	0.4607475856
99	0.4595690822
100	0.4585433011
101	0.4574638236
102	0.4564651382
103	0.4552883644
104	0.4541966517
105	0.4533065582
106	0.4524287798
107	0.451447011
108	0.4503266306
109	0.4491419985
110	0.448024439
111	0.4471492213
112	0.4462630685
113	0.4454741431
114	0.4443102375
115	0.4436832836
116	0.4427067073
117	0.4417212216
118	0.4408142548
119	0.4401723803
120	0.4394186673
121	0.4387705685
122	0.4379158965
123	0.4371400997
124	0.4362930282
125	0.4356816942
126	0.4349333195
127	0.4341617601
128	0.4334482154
129	0.4329805487
130	0.4324872633
131	0.4314540496
132	0.4308421402
133	0.4299408679
134	0.4292837999
135	0.4287474982
136	0.4279046931
137	0.4272083136
138	0.4265714731
139	0.425687779
140	0.4250521917
141	0.4244125885
142	0.4236266947
143	0.423023513
144	0.4222024912
145	0.4217091917
146	0.4210107687
147	0.420230194
148	0.4191942382
149	0.4186604379
150	0.4180859305
151	0.4172438991
152	0.4165276067
153	0.4158906778
154	0.4151623413
155	0.4145662185
156	0.4141498994
157	0.4136491547
158	0.4134199198
159	0.4126547315
160	0.4121735466
161	0.4118079376
162	0.4110440658
163	0.4106983257
164	0.4100232598
165	0.4091375664
166	0.4082876516
167	0.4074946719
168	0.4069830546
169	0.4065665113
170	0.4059304796
171	0.4053388144
172	0.4049881019
173	0.4043239381
174	0.4039152106
175	0.4033665973
176	0.4028663749
177	0.4025098569
178	0.4022614202
179	0.4019456523
180	0.4012545465
181	0.4007940621
182	0.4004878808
183	0.3999328864
184	0.3996165245
185	0.3988749389
186	0.3985978118
187	0.3981570471
188	0.3977812284
189	0.3969874028
190	0.3964634979
191	0.3959669178
192	0.3954575844
193	0.3949899486
194	0.3944861283
195	0.3939608437
