iter	Passed	Remaining
0	161	161438
1	179	89439
2	195	64836
3	208	51924
4	220	43800
5	227	37733
6	234	33285
7	240	29803
8	249	27480
9	255	25339
10	264	23796
11	271	22326
12	278	21143
13	283	19931
14	287	18893
15	297	18273
16	303	17562
17	311	17015
18	316	16329
19	326	16006
20	342	15988
21	348	15488
22	356	15153
23	361	14689
24	366	14291
25	374	14032
26	382	13779
27	390	13554
28	395	13253
29	404	13083
30	410	12816
31	419	12679
32	428	12548
33	436	12389
34	440	12155
35	448	12009
36	453	11813
37	461	11673
38	470	11604
39	511	12269
40	545	12764
41	574	13100
42	580	12925
43	587	12759
44	594	12615
45	601	12471
46	608	12342
47	613	12166
48	619	12032
49	624	11865
50	633	11790
51	641	11698
52	648	11592
53	656	11501
54	661	11358
55	669	11290
56	676	11197
57	685	11137
58	690	11014
59	698	10939
60	707	10891
61	717	10851
62	723	10761
63	730	10676
64	734	10572
65	739	10471
66	747	10414
67	753	10326
68	764	10312
69	770	10236
70	778	10183
71	783	10099
72	793	10072
73	799	10010
74	804	9927
75	811	9868
76	816	9784
77	820	9699
78	830	9678
79	840	9662
80	846	9607
81	852	9547
82	859	9493
83	864	9432
84	875	9421
85	880	9353
86	886	9306
87	893	9259
88	903	9243
89	909	9193
90	914	9138
91	922	9101
92	926	9038
93	932	8991
94	938	8944
95	948	8931
96	954	8886
97	959	8831
98	969	8821
99	976	8785
100	984	8764
101	989	8712
102	996	8679
103	1001	8626
104	1005	8571
105	1015	8567
106	1021	8526
107	1030	8513
108	1036	8476
109	1049	8488
110	1056	8461
111	1062	8420
112	1066	8372
113	1072	8337
114	1082	8327
115	1090	8313
116	1097	8286
117	1106	8267
118	1110	8224
119	1116	8186
120	1124	8168
121	1131	8142
122	1140	8132
123	1145	8093
124	1151	8059
125	1156	8020
126	1161	7987
127	1170	7972
128	1177	7948
129	1186	7939
130	1191	7904
131	1201	7899
132	1207	7871
133	1216	7862
134	1221	7825
135	1225	7786
136	1234	7778
137	1241	7753
138	1251	7753
139	1257	7726
140	1265	7706
141	1269	7671
142	1275	7646
143	1281	7615
144	1288	7597
145	1295	7576
146	1300	7545
147	1309	7537
148	1316	7517
149	1325	7509
150	1330	7479
151	1336	7456
152	1344	7442
153	1350	7419
154	1357	7401
155	1362	7372
156	1371	7363
157	1377	7340
158	1386	7335
159	1392	7309
160	1401	7305
161	1407	7282
162	1414	7264
163	1421	7243
164	1426	7220
165	1435	7209
166	1440	7184
167	1447	7170
168	1456	7163
169	1465	7154
170	1473	7141
171	1479	7124
172	1484	7094
173	1492	7086
174	1499	7068
175	1510	7070
176	1516	7049
177	1521	7027
178	1527	7006
179	1533	6984
180	1541	6973
181	1547	6957
182	1556	6950
183	1561	6926
184	1568	6909
185	1577	6903
186	1584	6887
187	1590	6870
188	1595	6848
189	1604	6839
190	1609	6816
191	1615	6797
192	1623	6786
193	1629	6769
194	1636	6756
195	1643	6742
196	1654	6742
197	1659	6723
198	1667	6710
199	1671	6687
200	1676	6664
201	1683	6648
202	1689	6633
203	1700	6636
204	1707	6621
205	1715	6613
206	1721	6594
207	1730	6589
208	1737	6577
209	1744	6563
210	1749	6541
211	1753	6519
212	1761	6506
213	1766	6489
214	1773	6476
215	1779	6460
216	1785	6442
217	1793	6433
218	1799	6416
219	1808	6412
220	1813	6393
221	1821	6384
222	1826	6363
223	1832	6346
224	1841	6344
225	1851	6341
226	1857	6324
227	1866	6320
228	1873	6307
229	1881	6300
230	1886	6281
231	1892	6264
232	1899	6251
233	1903	6231
234	1912	6224
235	1917	6209
236	1927	6203
237	1932	6186
238	1940	6178
239	1948	6170
240	1955	6157
241	1960	6141
242	1966	6124
243	1973	6113
244	1978	6097
245	1984	6083
246	1991	6070
247	1998	6058
248	2004	6046
249	2010	6030
250	2019	6025
251	2025	6011
252	2033	6003
253	2038	5987
254	2043	5971
255	2050	5959
256	2055	5943
257	2065	5939
258	2071	5927
259	2080	5920
260	2085	5904
261	2094	5899
262	2100	5886
263	2107	5876
264	2113	5861
265	2118	5846
266	2126	5837
267	2131	5822
268	2139	5815
269	2146	5803
270	2151	5787
